1999,https://www.atptour.com//en/scores/1999/468/MS018/match-stats?isLive=False,s544,d228,Vincent Spadea,Filip Dewulf,5,1,54,30,56,24,30,16,26,1,3,58,30,52,16,30,8,22
1999,https://www.atptour.com//en/scores/1999/891/MS001/match-stats?isLive=False,b397,s636,Byron Black,Rainer Schuettler,5,3,60,43,72,30,43,14,29,2,7,58,49,84,33,49,17,35
1999,https://www.atptour.com//en/scores/1999/891/MS003/match-stats?isLive=False,b397,v201,Byron Black,John vanLottum,3,0,62,23,37,16,23,10,14,1,4,53,35,66,17,35,9,31
1999,https://www.atptour.com//en/scores/1999/891/MS002/match-stats?isLive=False,s636,w254,Rainer Schuettler,Peter Wessels,1,4,73,35,48,26,35,6,13,4,8,50,27,54,17,27,7,27
1999,https://www.atptour.com//en/scores/1999/891/MS004/match-stats?isLive=False,s636,m605,Rainer Schuettler,Carlos Moya,2,2,70,26,37,19,26,5,11,0,1,59,23,39,12,23,5,16
1999,https://www.atptour.com//en/scores/1999/891/MS006/match-stats?isLive=False,b397,f164,Byron Black,Richard Fromberg,1,0,64,37,58,26,37,16,21,5,2,60,36,60,25,36,13,24
1999,https://www.atptour.com//en/scores/1999/891/MS007/match-stats?isLive=False,v201,t166,John vanLottum,Mikael Tillstrom,1,5,53,49,93,34,49,25,44,0,3,51,38,75,26,38,19,37
1999,https://www.atptour.com//en/scores/1999/891/MS005/match-stats?isLive=False,w254,s413,Peter Wessels,Vincenzo Santopadre,7,2,66,35,53,29,35,11,18,4,1,53,26,49,20,26,9,23
1999,https://www.atptour.com//en/scores/1999/891/MS008/match-stats?isLive=False,m605,b499,Carlos Moya,Wayne Black,1,8,58,51,88,28,51,21,37,2,2,58,50,86,29,50,21,36
1999,https://www.atptour.com//en/scores/1999/891/MS015/match-stats?isLive=False,t166,k237,Mikael Tillstrom,Karol Kucera,2,4,47,43,91,30,43,20,48,2,6,50,47,94,26,47,20,47
1999,https://www.atptour.com//en/scores/1999/891/MS013/match-stats?isLive=False,b397,p269,Byron Black,Leander Paes,6,5,55,41,74,28,41,18,33,1,5,50,31,62,18,31,14,31
1999,https://www.atptour.com//en/scores/1999/891/MS011/match-stats?isLive=False,s413,i052,Vincenzo Santopadre,Andrew Ilie,3,1,45,38,84,25,38,27,46,3,5,61,63,103,38,63,18,40
1999,https://www.atptour.com//en/scores/1999/891/MS009/match-stats?isLive=False,s636,v250,Rainer Schuettler,Andreas Vinciguerra,2,2,55,30,55,21,30,18,25,2,0,54,19,35,11,19,6,16
1999,https://www.atptour.com//en/scores/1999/891/MS014/match-stats?isLive=False,v201,s403,John vanLottum,Jonathan Stark,3,8,57,72,127,40,72,29,55,10,8,50,51,102,39,51,26,51
1999,https://www.atptour.com//en/scores/1999/891/MS012/match-stats?isLive=False,f164,b484,Richard Fromberg,Lars Burgsmuller,5,4,51,46,90,33,46,21,44,1,6,41,31,76,24,31,26,45
1999,https://www.atptour.com//en/scores/1999/891/MS010/match-stats?isLive=False,w254,s545,Peter Wessels,Sargis Sargsian,10,5,55,66,120,48,66,33,54,9,3,63,87,138,60,87,25,51
1999,https://www.atptour.com//en/scores/1999/891/MS016/match-stats?isLive=False,m605,v211,Carlos Moya,Vladimir Voltchkov,5,6,55,52,94,37,52,18,42,5,6,51,33,65,23,33,15,32
1999,https://www.atptour.com//en/scores/1999/891/MS031/match-stats?isLive=False,k237,k257,Karol Kucera,Michael Kohlmann,5,5,51,26,51,22,26,13,25,2,1,38,20,52,11,20,13,32
1999,https://www.atptour.com//en/scores/1999/891/MS020/match-stats?isLive=False,s545,j129,Sargis Sargsian,Thomas Johansson,4,2,64,21,33,12,21,6,12,1,5,47,29,62,17,29,11,33
1999,https://www.atptour.com//en/scores/1999/891/MS027/match-stats?isLive=False,b397,c400,Byron Black,Gregory Carraz,4,3,42,19,45,15,19,18,26,4,5,47,30,64,19,30,14,34
