year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
1992,https://www.atptour.com//en/scores/1992/7308/MS001/match-stats?isLive=False,i034,b040,Goran Ivanisevic,Christian Bergstrom,15,5,47,44,93,31,44,28,49,2,0,79,84,106,52,84,16,22
1992,https://www.atptour.com//en/scores/1992/7308/MS002/match-stats?isLive=False,i034,s380,Goran Ivanisevic,Bryan Shelton,11,3,68,38,56,29,38,10,18,7,5,60,32,53,23,32,6,21
1992,https://www.atptour.com//en/scores/1992/7308/MS003/match-stats?isLive=False,b040,s080,Christian Bergstrom,Carl-Uwe Steeb,1,1,80,69,86,35,69,11,17,6,0,59,48,82,25,48,18,34
1992,https://www.atptour.com//en/scores/1992/7308/MS004/match-stats?isLive=False,i034,r214,Goran Ivanisevic,Marc Rosset,4,3,71,67,94,41,67,14,27,8,2,59,37,63,26,37,13,26
1992,https://www.atptour.com//en/scores/1992/7308/MS006/match-stats?isLive=False,s080,e113,Carl-Uwe Steeb,Thomas Enqvist,2,3,62,54,87,34,54,19,33,3,5,50,44,88,31,44,19,44
1992,https://www.atptour.com//en/scores/1992/7308/MS007/match-stats?isLive=False,b040,d015,Christian Bergstrom,Olivier Delaitre,0,0,88,0,48,31,42,1,6,0,2,59,22,37,10,22,6,15
1992,https://www.atptour.com//en/scores/1992/7308/MS005/match-stats?isLive=False,s380,g108,Bryan Shelton,Rodolphe Gilbert,7,3,61,44,72,33,44,17,28,0,3,54,38,70,24,38,20,32
1992,https://www.atptour.com//en/scores/1992/7308/MS008/match-stats?isLive=False,i034,p235,Goran Ivanisevic,Stefano Pescosolido,6,1,53,24,45,20,24,17,21,4,2,44,33,75,22,33,22,42
1992,https://www.atptour.com//en/scores/1992/7308/MS013/match-stats?isLive=False,e113,s055,Thomas Enqvist,Horst Skoff,2,12,50,52,103,29,52,23,51,9,2,51,38,74,21,38,18,36
1992,https://www.atptour.com//en/scores/1992/7308/MS012/match-stats?isLive=False,s080,s443,Carl-Uwe Steeb,Sandon Stolle,3,0,70,0,87,41,61,19,26,4,3,60,47,78,31,47,16,31
1992,https://www.atptour.com//en/scores/1992/7308/MS014/match-stats?isLive=False,d015,w035,Olivier Delaitre,Mark Woodforde,1,4,52,29,56,21,29,18,27,4,6,47,37,79,20,37,23,42
1992,https://www.atptour.com//en/scores/1992/7308/MS015/match-stats?isLive=False,b040,f028,Christian Bergstrom,John Fitzgerald,2,0,83,0,46,30,38,4,8,1,1,43,20,47,12,20,11,27
1992,https://www.atptour.com//en/scores/1992/7308/MS010/match-stats?isLive=False,g108,v014,Rodolphe Gilbert,Christo Van Rensburg,2,1,63,36,57,29,36,14,21,6,4,60,32,53,23,32,11,21
1992,https://www.atptour.com//en/scores/1992/7308/MS009/match-stats?isLive=False,r214,m012,Marc Rosset,Amos Mansdorf,9,2,60,45,75,32,45,18,30,4,3,62,53,85,34,53,15,32
1992,https://www.atptour.com//en/scores/1992/7308/MS011/match-stats?isLive=False,s380,b305,Bryan Shelton,Karsten Braasch,4,5,58,42,73,31,42,17,31,5,2,47,27,57,22,27,15,30
1992,https://www.atptour.com//en/scores/1992/7308/MS016/match-stats?isLive=False,i034,k181,Goran Ivanisevic,Nicklas Kulti,12,3,57,33,58,27,33,13,25,2,1,69,34,49,23,34,6,15
1992,https://www.atptour.com//en/scores/1992/7308/MS031/match-stats?isLive=False,f028,s381,John Fitzgerald,Jan Siemerink,2,5,70,51,73,34,51,13,22,4,6,50,35,70,21,35,15,35
1992,https://www.atptour.com//en/scores/1992/7308/MS020/match-stats?isLive=False,v014,s015,Christo Van Rensburg,Javier Sanchez,8,11,64,71,111,61,71,20,40,2,2,81,95,118,65,95,15,23
