year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2018,https://www.atptour.com//en/scores/2018/339/MS001/match-stats?isLive=False,ke17,h940,Nick Kyrgios,Ryan Harrison,17,1,71,40,56,33,40,9,16,8,3,55,32,58,22,32,12,26
2018,https://www.atptour.com//en/scores/2018/339/MS002/match-stats?isLive=False,ke17,d875,Nick Kyrgios,Grigor Dimitrov,19,2,69,50,72,41,50,11,22,5,6,59,44,74,32,44,16,30
2018,https://www.atptour.com//en/scores/2018/339/MS003/match-stats?isLive=False,h940,dh58,Ryan Harrison,Alex de Minaur,14,5,61,70,115,49,70,24,45,9,5,66,62,94,49,62,16,32
2018,https://www.atptour.com//en/scores/2018/339/MS004/match-stats?isLive=False,d875,e831,Grigor Dimitrov,Kyle Edmund,12,9,63,65,103,54,65,18,38,6,1,60,53,89,39,53,23,36
2018,https://www.atptour.com//en/scores/2018/339/MS005/match-stats?isLive=False,ke17,d801,Nick Kyrgios,Alexandr Dolgopolov,18,5,62,43,69,38,43,11,26,6,3,55,41,75,33,41,16,34
2018,https://www.atptour.com//en/scores/2018/339/MS006/match-stats?isLive=False,dh58,mp01,Alex de Minaur,Michael Mmoh,6,1,50,23,46,18,23,17,23,3,5,57,29,51,18,29,8,22
2018,https://www.atptour.com//en/scores/2018/339/MS007/match-stats?isLive=False,h940,i165,Ryan Harrison,Denis Istomin,11,2,57,34,60,27,34,14,26,3,1,69,46,67,29,46,12,21
2018,https://www.atptour.com//en/scores/2018/339/MS008/match-stats?isLive=False,d875,mh30,Grigor Dimitrov,John Millman,6,5,58,65,113,51,65,22,48,5,1,66,67,101,46,67,18,34
2018,https://www.atptour.com//en/scores/2018/339/MS010/match-stats?isLive=False,ke17,e690,Nick Kyrgios,Matthew Ebden,13,2,62,62,100,53,62,21,38,11,2,74,78,105,58,78,16,27
2018,https://www.atptour.com//en/scores/2018/339/MS013/match-stats?isLive=False,dh58,r975,Alex de Minaur,Milos Raonic,5,0,61,41,67,29,41,16,26,9,4,60,38,63,26,38,13,25
2018,https://www.atptour.com//en/scores/2018/339/MS012/match-stats?isLive=False,mp01,z168,Michael Mmoh,Mischa Zverev,12,3,60,67,111,48,67,22,44,11,3,60,50,83,37,50,17,33
2018,https://www.atptour.com//en/scores/2018/339/MS011/match-stats?isLive=False,d801,z184,Alexandr Dolgopolov,Horacio Zeballos,9,2,65,33,51,25,33,10,18,2,2,57,28,49,15,28,7,21
2018,https://www.atptour.com//en/scores/2018/339/MS009/match-stats?isLive=False,e831,ch27,Kyle Edmund,Hyeon Chung,12,3,65,66,102,54,66,16,36,11,1,69,75,109,51,75,20,34
2018,https://www.atptour.com//en/scores/2018/339/MS015/match-stats?isLive=False,h940,h997,Ryan Harrison,Yannick Hanfmann,19,5,56,54,96,43,54,23,42,5,5,59,68,115,50,68,17,47
2018,https://www.atptour.com//en/scores/2018/339/MS014/match-stats?isLive=False,i165,dc58,Denis Istomin,Jared Donaldson,6,1,71,45,63,35,45,8,18,4,9,49,35,72,26,35,15,37
2018,https://www.atptour.com//en/scores/2018/339/MS019/match-stats?isLive=False,ch27,ma30,Hyeon Chung,Gilles Muller,7,4,55,35,64,29,35,17,29,19,5,59,40,68,33,40,10,28
2018,https://www.atptour.com//en/scores/2018/339/MS023/match-stats?isLive=False,d801,sm37,Alexandr Dolgopolov,Diego Schwartzman,6,4,58,40,69,32,40,16,29,1,2,49,34,70,22,34,20,36
2018,https://www.atptour.com//en/scores/2018/339/MS028/match-stats?isLive=False,i165,d923,Denis Istomin,Damir Dzumhur,7,0,70,66,94,48,66,12,28,8,6,44,53,120,37,53,29,67
2018,https://www.atptour.com//en/scores/2018/339/MS024/match-stats?isLive=False,z168,sj55,Mischa Zverev,John-Patrick Smith,4,1,77,51,66,35,51,6,15,4,0,74,51,69,27,51,8,18
2018,https://www.atptour.com//en/scores/2018/339/MS026/match-stats?isLive=False,dh58,j386,Alex de Minaur,Steve Johnson,9,3,56,37,66,32,37,17,29,6,2,54,43,80,33,43,17,37
2018,https://www.atptour.com//en/scores/2018/339/MS029/match-stats?isLive=False,dc58,tc61,Jared Donaldson,Jordan Thompson,5,3,55,32,58,25,32,14,26,3,5,66,41,62,25,41,7,21
2018,https://www.atptour.com//en/scores/2018/339/MS021/match-stats?isLive=False,e690,td51,Matthew Ebden,Frances Tiafoe,7,1,67,32,48,23,32,11,16,4,4,54,25,46,18,25,6,21
2018,https://www.atptour.com//en/scores/2018/339/MS018/match-stats?isLive=False,e831,su55,Kyle Edmund,Denis Shapovalov,5,5,58,65,113,54,65,29,48,18,5,62,62,100,54,62,18,38
2018,https://www.atptour.com//en/scores/2018/339/MS030/match-stats?isLive=False,h940,md56,Ryan Harrison,Leonardo Mayer,9,2,60,49,82,39,49,20,33,10,3,59,47,80,33,47,19,33
2018,https://www.atptour.com//en/scores/2018/339/MS017/match-stats?isLive=False,mh30,pb22,John Millman,Peter Polansky,8,0,65,37,57,27,37,17,20,1,1,58,43,74,24,43,17,31
2018,https://www.atptour.com//en/scores/2018/339/MS025/match-stats?isLive=False,mp01,d874,Michael Mmoh,Federico Delbonis,5,4,69,38,55,32,38,11,17,4,0,78,35,45,28,35,5,10
2018,https://www.atptour.com//en/scores/2018/339/MS022/match-stats?isLive=False,z184,e873,Horacio Zeballos,Ernesto Escobedo,12,3,65,37,57,31,37,11,20,9,0,63,32,51,25,32,10,19
2018,https://www.atptour.com//en/scores/2018/339/QS005/match-stats?isLive=False,pb22,h997,Peter Polansky,Yannick Hanfmann,2,3,58,59,102,43,59,20,43,13,3,61,44,72,28,44,17,28
2018,https://www.atptour.com//en/scores/2018/339/QS006/match-stats?isLive=False,e873,kc04,Ernesto Escobedo,Jozef Kovalik,10,1,65,54,83,40,54,16,29,6,0,60,32,53,26,32,12,21
2018,https://www.atptour.com//en/scores/2018/339/QS007/match-stats?isLive=False,mp01,o513,Michael Mmoh,Sebastian Ofner,6,1,61,30,49,26,30,15,19,6,2,54,28,52,24,28,9,24
2018,https://www.atptour.com//en/scores/2018/339/QS004/match-stats?isLive=False,sj55,gb61,John-Patrick Smith,Viktor Galovic,7,0,76,75,99,52,75,16,24,13,2,74,73,98,53,73,12,25
2018,https://www.atptour.com//en/scores/2018/339/QS008/match-stats?isLive=False,sj55,bk92,John-Patrick Smith,Alexander Bublik,3,0,70,31,44,25,31,7,13,4,7,65,36,55,23,36,3,19
2018,https://www.atptour.com//en/scores/2018/339/QS010/match-stats?isLive=False,h997,g940,Yannick Hanfmann,Sam Groth,10,2,64,42,66,34,42,18,24,21,2,64,47,73,39,47,12,26
2018,https://www.atptour.com//en/scores/2018/339/QS012/match-stats?isLive=False,e873,d994,Ernesto Escobedo,James Duckworth,17,2,58,48,83,38,48,19,35,13,4,60,49,81,34,49,16,32
2018,https://www.atptour.com//en/scores/2018/339/QS014/match-stats?isLive=False,mp01,hb64,Michael Mmoh,Quentin Halys,8,4,57,32,56,25,32,18,24,9,5,48,29,61,21,29,17,32
2018,https://www.atptour.com//en/scores/2018/339/QS011/match-stats?isLive=False,pb22,pf65,Peter Polansky,Filip Peliwo,4,1,51,26,51,22,26,14,25,2,5,59,34,58,17,34,13,24
2018,https://www.atptour.com//en/scores/2018/339/QS015/match-stats?isLive=False,o513,a853,Sebastian Ofner,Marcelo Arevalo,17,3,67,57,85,39,57,16,28,4,4,61,56,92,36,56,20,36
2018,https://www.atptour.com//en/scores/2018/339/QS009/match-stats?isLive=False,gb61,o376,Viktor Galovic,Renzo Olivo,7,0,68,55,81,41,55,17,26,8,5,61,54,89,40,54,14,35
2018,https://www.atptour.com//en/scores/2018/339/QS013/match-stats?isLive=False,kc04,kb09,Jozef Kovalik,Denis Kudla,7,3,59,48,81,34,48,18,33,6,4,58,34,59,29,34,11,25
2018,https://www.atptour.com//en/scores/2018/451/MS001/match-stats?isLive=False,mc65,re44,Gael Monfils,Andrey Rublev,9,4,65,39,60,31,39,11,21,7,3,71,29,41,19,29,6,12
2018,https://www.atptour.com//en/scores/2018/451/MS003/match-stats?isLive=False,re44,pc11,Andrey Rublev,Guido Pella,2,11,65,76,117,55,76,14,41,3,0,73,74,101,44,74,12,27
2018,https://www.atptour.com//en/scores/2018/451/MS004/match-stats?isLive=False,tb69,te51,Dominic Thiem,Stefanos Tsitsipas,7,4,64,45,70,33,45,13,25,4,3,64,49,76,32,49,11,27
2018,https://www.atptour.com//en/scores/2018/451/MS005/match-stats?isLive=False,mc65,g967,Gael Monfils,Peter Gojowczyk,8,4,73,51,70,37,51,8,19,0,0,51,35,68,21,35,19,33
2018,https://www.atptour.com//en/scores/2018/451/MS006/match-stats?isLive=False,pc11,be67,Guido Pella,Mirza Basic,7,1,81,44,54,34,44,6,10,3,1,71,34,48,23,34,6,14
2018,https://www.atptour.com//en/scores/2018/451/MS007/match-stats?isLive=False,re44,cg80,Andrey Rublev,Borna Coric,2,8,55,37,67,32,37,13,30,6,2,69,43,62,28,43,7,19
2018,https://www.atptour.com//en/scores/2018/451/MS008/match-stats?isLive=False,tb69,bh09,Dominic Thiem,Aljaz Bedene,9,3,64,42,66,33,42,12,24,1,1,59,57,96,37,57,17,39
2018,https://www.atptour.com//en/scores/2018/451/MS009/match-stats?isLive=False,te51,g628,Stefanos Tsitsipas,Richard Gasquet,4,2,61,36,59,31,36,11,23,2,0,75,42,56,27,42,9,14
2018,https://www.atptour.com//en/scores/2018/451/MS014/match-stats?isLive=False,re44,v306,Andrey Rublev,Fernando Verdasco,3,9,61,62,101,42,62,17,39,12,5,55,41,75,30,41,18,34
2018,https://www.atptour.com//en/scores/2018/451/MS012/match-stats?isLive=False,be67,l397,Mirza Basic,Feliciano Lopez,8,1,65,46,71,33,46,17,25,13,4,54,38,71,31,38,16,33
2018,https://www.atptour.com//en/scores/2018/451/MS015/match-stats?isLive=False,cg80,bg23,Borna Coric,Nikoloz Basilashvili,3,1,71,39,55,28,39,8,16,3,3,59,35,59,15,35,12,24
2018,https://www.atptour.com//en/scores/2018/451/MS011/match-stats?isLive=False,g967,bk40,Peter Gojowczyk,Matteo Berrettini,2,0,58,22,38,19,22,13,16,3,2,60,30,50,17,30,8,20
2018,https://www.atptour.com//en/scores/2018/451/MS010/match-stats?isLive=False,mc65,sl28,Gael Monfils,Jan-Lennard Struff,3,5,59,40,68,32,40,16,28,5,3,58,38,65,27,38,18,27
2018,https://www.atptour.com//en/scores/2018/451/MS013/match-stats?isLive=False,pc11,ta12,Guido Pella,Stefano Travaglia,2,1,72,43,60,31,43,11,17,9,2,53,42,79,30,42,13,37
2018,https://www.atptour.com//en/scores/2018/451/MS016/match-stats?isLive=False,tb69,d864,Dominic Thiem,Evgeny Donskoy,13,3,59,38,64,35,38,11,26,2,1,69,53,77,34,53,11,24
2018,https://www.atptour.com//en/scores/2018/451/MS031/match-stats?isLive=False,cg80,cd85,Borna Coric,Pablo Carreno Busta,13,4,70,80,115,56,80,15,35,3,2,66,73,110,45,73,19,37
2018,https://www.atptour.com//en/scores/2018/451/MS020/match-stats?isLive=False,sl28,ba47,Jan-Lennard Struff,Tomas Berdych,8,6,56,53,95,43,53,17,42,9,2,60,58,96,49,58,16,38
2018,https://www.atptour.com//en/scores/2018/451/MS027/match-stats?isLive=False,pc11,r772,Guido Pella,Albert Ramos-Vinolas,6,2,64,62,97,43,62,22,35,10,2,66,57,86,43,57,16,29
2018,https://www.atptour.com//en/scores/2018/451/MS019/match-stats?isLive=False,g628,e224,Richard Gasquet,Victor Estrella Burgos,7,0,59,22,37,19,22,10,15,1,0,71,27,38,9,27,5,11
2018,https://www.atptour.com//en/scores/2018/451/MS023/match-stats?isLive=False,g967,kb05,Peter Gojowczyk,Filip Krajinovic,6,2,49,26,53,22,26,12,27,1,4,67,33,49,19,33,3,16
2018,https://www.atptour.com//en/scores/2018/451/MS028/match-stats?isLive=False,v306,sc56,Fernando Verdasco,Dudi Sela,6,6,63,57,90,35,57,13,33,1,4,60,49,82,23,49,12,33
2018,https://www.atptour.com//en/scores/2018/451/MS024/match-stats?isLive=False,l397,g476,Feliciano Lopez,Guillermo Garcia-Lopez,23,4,59,67,113,51,67,26,46,9,2,59,66,111,46,66,29,45
2018,https://www.atptour.com//en/scores/2018/451/MS025/match-stats?isLive=False,be67,h804,Mirza Basic,Andreas Haider-Maurer,8,0,63,31,49,25,31,14,18,9,4,61,43,70,27,43,14,27
2018,https://www.atptour.com//en/scores/2018/451/MS030/match-stats?isLive=False,bg23,f586,Nikoloz Basilashvili,Thomas Fabbiano,0,1,74,45,61,28,45,10,16,1,1,65,36,55,18,36,11,19
2018,https://www.atptour.com//en/scores/2018/451/MS017/match-stats?isLive=False,bh09,j267,Aljaz Bedene,Malek Jaziri,9,0,58,29,50,25,29,9,21,2,5,64,47,74,27,47,8,27
2018,https://www.atptour.com//en/scores/2018/451/MS022/match-stats?isLive=False,bk40,t840,Matteo Berrettini,Viktor Troicki,12,2,57,55,96,45,55,19,41,6,3,77,94,122,64,94,12,28
2018,https://www.atptour.com//en/scores/2018/451/MS021/match-stats?isLive=False,mc65,l503,Gael Monfils,Paolo Lorenzi,7,6,65,57,88,44,57,12,31,3,3,64,50,78,35,50,12,28
2018,https://www.atptour.com//en/scores/2018/451/MS029/match-stats?isLive=False,re44,sk94,Andrey Rublev,Cedrik-Marcel Stebe,2,5,52,13,25,13,13,3,12,0,1,39,9,23,5,9,5,14
2018,https://www.atptour.com//en/scores/2018/451/MS026/match-stats?isLive=False,ta12,ac23,Stefano Travaglia,Jabor Al-Mutawa,8,2,59,20,34,19,20,9,14,0,2,80,40,50,19,40,3,10
2018,https://www.atptour.com//en/scores/2018/451/MS018/match-stats?isLive=False,te51,mb02,Stefanos Tsitsipas,Florian Mayer,10,0,62,52,84,43,52,14,32,0,1,59,63,106,45,63,20,43
2018,https://www.atptour.com//en/scores/2018/451/QS004/match-stats?isLive=False,be67,sa93,Mirza Basic,Andreas Seppi,16,1,65,83,128,61,83,29,45,19,3,60,77,128,59,77,25,51
2018,https://www.atptour.com//en/scores/2018/451/QS005/match-stats?isLive=False,bk40,mn13,Matteo Berrettini,Maximilian Marterer,9,0,68,50,73,39,50,14,23,5,2,71,59,83,38,59,14,24
2018,https://www.atptour.com//en/scores/2018/451/QS006/match-stats?isLive=False,te51,y218,Stefanos Tsitsipas,Elias Ymer,0,2,54,39,72,33,39,15,33,1,2,64,57,89,33,57,18,32
