year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
1994,https://www.atptour.com//en/scores/1994/7308/MS001/match-stats?isLive=False,k267,v037,Yevgeny Kafelnikov,Alexander Volkov,2,0,72,0,60,27,43,7,17,4,3,50,27,54,18,27,7,27
1994,https://www.atptour.com//en/scores/1994/7308/MS003/match-stats?isLive=False,v037,k181,Alexander Volkov,Nicklas Kulti,5,4,46,38,83,26,38,26,45,4,2,53,47,89,30,47,21,42
1994,https://www.atptour.com//en/scores/1994/7308/MS002/match-stats?isLive=False,k267,r255,Yevgeny Kafelnikov,Patrick Rafter,0,4,74,42,57,27,42,10,15,7,2,56,32,57,19,32,12,25
1994,https://www.atptour.com//en/scores/1994/7308/MS006/match-stats?isLive=False,v037,c328,Alexander Volkov,Kenneth Carlsen,3,3,40,19,48,16,19,16,29,6,4,48,31,64,21,31,11,33
1994,https://www.atptour.com//en/scores/1994/7308/MS005/match-stats?isLive=False,k267,r203,Yevgeny Kafelnikov,David Rikl,4,2,36,33,92,25,33,39,59,6,3,69,66,96,51,66,9,30
1994,https://www.atptour.com//en/scores/1994/7308/MS007/match-stats?isLive=False,k181,r186,Nicklas Kulti,Guillaume Raoux,3,2,63,50,79,36,50,15,29,2,5,44,37,85,26,37,23,48
1994,https://www.atptour.com//en/scores/1994/7308/MS004/match-stats?isLive=False,r255,s406,Patrick Rafter,Grant Stafford,12,3,61,59,96,41,59,20,37,3,8,62,71,114,46,71,22,43
1994,https://www.atptour.com//en/scores/1994/7308/MS008/match-stats?isLive=False,s406,m099,Grant Stafford,Thomas Muster,0,5,68,63,92,45,63,14,29,7,1,64,62,97,41,62,18,35
1994,https://www.atptour.com//en/scores/1994/7308/MS010/match-stats?isLive=False,k267,n025,Yevgeny Kafelnikov,Karel Novacek,2,3,56,31,55,23,31,14,24,2,2,58,32,55,17,32,11,23
1994,https://www.atptour.com//en/scores/1994/7308/MS013/match-stats?isLive=False,v037,b040,Alexander Volkov,Christian Bergstrom,3,1,53,54,101,33,54,27,47,2,4,56,49,87,31,49,20,38
1994,https://www.atptour.com//en/scores/1994/7308/MS014/match-stats?isLive=False,r186,f164,Guillaume Raoux,Richard Fromberg,10,3,43,45,105,33,45,37,60,8,7,60,58,97,42,58,22,39
1994,https://www.atptour.com//en/scores/1994/7308/MS009/match-stats?isLive=False,r255,s321,Patrick Rafter,Brett Steven,6,3,65,62,95,43,62,24,33,1,1,47,42,90,34,42,25,48
1994,https://www.atptour.com//en/scores/1994/7308/MS012/match-stats?isLive=False,c328,a176,Kenneth Carlsen,Jan Apell,3,3,54,44,81,34,44,21,37,2,5,52,46,89,32,46,21,43
1994,https://www.atptour.com//en/scores/1994/7308/MS015/match-stats?isLive=False,k181,r237,Nicklas Kulti,Greg Rusedski,4,1,58,38,66,34,38,17,28,7,3,48,28,58,23,28,16,30
1994,https://www.atptour.com//en/scores/1994/7308/MS011/match-stats?isLive=False,r203,m408,David Rikl,Jamie Morgan,3,0,73,0,45,27,33,9,12,5,2,55,28,51,17,28,13,23
1994,https://www.atptour.com//en/scores/1994/7308/MS016/match-stats?isLive=False,m099,s380,Thomas Muster,Bryan Shelton,5,4,54,26,48,21,26,13,22,6,6,47,30,64,17,30,15,34
1994,https://www.atptour.com//en/scores/1994/7308/MS031/match-stats?isLive=False,k181,r214,Nicklas Kulti,Marc Rosset,3,2,48,35,73,27,35,20,38,12,6,61,39,64,30,39,9,25
