year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2013,https://www.atptour.com//en/scores/2013/339/MS001/match-stats?isLive=False,mc10,d875,Andy Murray,Grigor Dimitrov,7,4,73,53,73,38,53,11,20,3,2,61,38,62,24,38,14,24
2013,https://www.atptour.com//en/scores/2013/339/MS002/match-stats?isLive=False,mc10,n552,Andy Murray,Kei Nishikori,4,1,70,21,30,17,21,5,9,1,0,53,18,34,10,18,7,16
2013,https://www.atptour.com//en/scores/2013/339/MS003/match-stats?isLive=False,d875,b837,Grigor Dimitrov,Marcos Baghdatis,12,3,64,72,113,57,72,21,41,4,3,61,69,113,53,69,21,44
2013,https://www.atptour.com//en/scores/2013/339/MS004/match-stats?isLive=False,mc10,i165,Andy Murray,Denis Istomin,4,2,65,46,71,38,46,16,25,7,1,56,39,70,27,39,19,31
2013,https://www.atptour.com//en/scores/2013/339/MS006/match-stats?isLive=False,b837,sd32,Marcos Baghdatis,Gilles Simon,6,2,52,32,62,25,32,16,30,3,2,62,32,52,19,32,11,20
2013,https://www.atptour.com//en/scores/2013/339/MS005/match-stats?isLive=False,n552,d801,Kei Nishikori,Alexandr Dolgopolov,5,0,62,39,63,31,39,16,24,4,0,60,43,72,29,43,18,29
2013,https://www.atptour.com//en/scores/2013/339/MS007/match-stats?isLive=False,d875,m762,Grigor Dimitrov,Jurgen Melzer,17,1,63,39,62,33,39,11,23,5,2,80,32,40,17,32,4,8
2013,https://www.atptour.com//en/scores/2013/339/MS008/match-stats?isLive=False,mc10,mh30,Andy Murray,John Millman,7,3,71,70,98,49,70,13,28,2,5,57,47,82,33,47,15,35
2013,https://www.atptour.com//en/scores/2013/339/MS015/match-stats?isLive=False,d875,r975,Grigor Dimitrov,Milos Raonic,10,4,50,26,52,26,26,15,26,4,2,56,24,43,21,24,11,19
2013,https://www.atptour.com//en/scores/2013/339/MS013/match-stats?isLive=False,sd32,f444,Gilles Simon,Alejandro Falla,5,1,48,43,89,28,43,28,46,6,2,57,43,76,27,43,20,33
2013,https://www.atptour.com//en/scores/2013/339/MS010/match-stats?isLive=False,d801,n289,Alexandr Dolgopolov,Jarkko Nieminen,6,0,61,22,36,17,22,10,14,0,1,65,28,43,12,28,7,15
2013,https://www.atptour.com//en/scores/2013/339/MS011/match-stats?isLive=False,n552,r419,Kei Nishikori,Tommy Robredo,1,1,64,34,53,25,34,13,19,4,2,48,29,60,20,29,14,31
2013,https://www.atptour.com//en/scores/2013/339/MS012/match-stats?isLive=False,b837,mb02,Marcos Baghdatis,Florian Mayer,15,2,64,35,55,29,35,9,20,1,0,62,40,65,24,40,11,25
2013,https://www.atptour.com//en/scores/2013/339/MS014/match-stats?isLive=False,m762,gb88,Jurgen Melzer,David Goffin,7,2,66,50,76,37,50,16,26,6,4,63,45,71,33,45,15,26
2013,https://www.atptour.com//en/scores/2013/339/MS009/match-stats?isLive=False,i165,h432,Denis Istomin,Lleyton Hewitt,11,2,70,51,73,42,51,9,22,3,1,57,48,84,30,48,19,36
2013,https://www.atptour.com//en/scores/2013/339/MS023/match-stats?isLive=False,n552,me05,Kei Nishikori,Marinko Matosevic,2,0,63,45,72,29,45,17,27,3,1,53,37,70,25,37,13,33
2013,https://www.atptour.com//en/scores/2013/339/MS024/match-stats?isLive=False,mb02,g725,Florian Mayer,Santiago Giraldo,6,1,66,33,50,27,33,14,17,3,0,74,40,54,30,40,7,14
2013,https://www.atptour.com//en/scores/2013/339/MS028/match-stats?isLive=False,m762,kb09,Jurgen Melzer,Denis Kudla,5,1,71,55,78,40,55,12,23,3,3,53,48,91,37,48,20,43
2013,https://www.atptour.com//en/scores/2013/339/MS019/match-stats?isLive=False,i165,k966,Denis Istomin,Martin Klizan,6,2,62,33,53,28,33,8,20,3,3,54,31,57,19,31,9,26
2013,https://www.atptour.com//en/scores/2013/339/MS025/match-stats?isLive=False,b837,mk40,Marcos Baghdatis,Benjamin Mitchell,5,1,58,35,60,30,35,14,25,5,1,61,35,57,28,35,10,22
2013,https://www.atptour.com//en/scores/2013/339/MS030/match-stats?isLive=False,d875,ba23,Grigor Dimitrov,Brian Baker,10,1,63,40,64,33,40,15,24,6,2,70,49,70,28,49,16,21
2013,https://www.atptour.com//en/scores/2013/339/MS026/match-stats?isLive=False,f444,l799,Alejandro Falla,Jesse Levine,11,1,78,46,59,40,46,8,13,5,2,61,45,74,29,45,16,29
2013,https://www.atptour.com//en/scores/2013/339/MS029/match-stats?isLive=False,gb88,e690,David Goffin,Matthew Ebden,2,2,65,28,43,22,28,11,15,1,4,45,18,40,9,18,11,22
2013,https://www.atptour.com//en/scores/2013/339/MS018/match-stats?isLive=False,h432,k403,Lleyton Hewitt,Igor Kunitsyn,8,2,49,34,69,29,34,21,35,7,5,54,53,99,37,53,19,46
2013,https://www.atptour.com//en/scores/2013/339/MS017/match-stats?isLive=False,mh30,i230,John Millman,Tatsuma Ito,7,6,64,44,69,33,44,11,25,2,5,49,26,53,19,26,8,27
2013,https://www.atptour.com//en/scores/2013/339/MS021/match-stats?isLive=False,n289,b747,Jarkko Nieminen,Julien Benneteau,4,1,67,63,94,40,63,15,31,6,6,69,48,70,29,48,7,22
2013,https://www.atptour.com//en/scores/2013/339/MS022/match-stats?isLive=False,r419,h940,Tommy Robredo,Ryan Harrison,6,0,78,50,64,43,50,8,14,4,1,57,39,68,26,39,20,29
2013,https://www.atptour.com//en/scores/2013/339/QS005/match-stats?isLive=False,h940,ma41,Ryan Harrison,Ivo Minar,5,0,67,35,52,25,35,13,17,7,2,56,31,55,20,31,11,24
2013,https://www.atptour.com//en/scores/2013/339/QS004/match-stats?isLive=False,kb09,k403,Denis Kudla,Igor Kunitsyn,11,2,61,44,72,33,44,15,28,6,1,70,50,71,34,50,13,21
2013,https://www.atptour.com//en/scores/2013/339/QS006/match-stats?isLive=False,mh30,y124,John Millman,Donald Young,2,2,67,37,55,29,37,10,18,2,1,61,30,49,18,30,10,19
2013,https://www.atptour.com//en/scores/2013/339/QS010/match-stats?isLive=False,h940,k624,Ryan Harrison,Bastian Knittel,6,1,78,49,63,36,49,7,14,3,5,54,36,67,24,36,15,31
2013,https://www.atptour.com//en/scores/2013/339/QS014/match-stats?isLive=False,l799,d499,Jesse Levine,Frank Dancevic,6,2,69,57,83,42,57,15,26,7,4,66,60,91,40,60,12,31
2013,https://www.atptour.com//en/scores/2013/339/QS009/match-stats?isLive=False,kb09,be90,Denis Kudla,Ricardas Berankis,5,7,63,61,97,43,61,19,36,5,1,61,59,97,39,59,21,38
2013,https://www.atptour.com//en/scores/2013/339/QS013/match-stats?isLive=False,mh30,b842,John Millman,Alex Bogomolov Jr.,9,4,48,32,66,22,32,20,34,2,2,78,63,81,33,63,11,18
2013,https://www.atptour.com//en/scores/2013/339/QS015/match-stats?isLive=False,j386,mi01,Steve Johnson,Hiroki Moriya,18,4,54,54,100,41,54,26,46,7,5,57,65,115,44,65,27,50
2013,https://www.atptour.com//en/scores/2013/339/QS008/match-stats?isLive=False,k403,d994,Igor Kunitsyn,James Duckworth,9,4,61,60,99,45,60,24,39,12,0,56,48,85,36,48,19,37
2013,https://www.atptour.com//en/scores/2013/339/QS012/match-stats?isLive=False,y124,z168,Donald Young,Mischa Zverev,2,4,76,54,71,39,54,6,17,9,2,64,41,64,29,41,6,23
2013,https://www.atptour.com//en/scores/2013/339/QS016/match-stats?isLive=False,k403,ma30,Igor Kunitsyn,Gilles Muller,2,2,56,52,93,38,52,30,41,20,4,64,55,86,41,55,18,31
2013,https://www.atptour.com//en/scores/2013/339/QS020/match-stats?isLive=False,h940,se69,Ryan Harrison,Ivan Sergeyev,3,2,61,38,62,27,38,15,24,0,3,44,19,43,13,19,13,24
2013,https://www.atptour.com//en/scores/2013/339/QS024/match-stats?isLive=False,y124,r397,Donald Young,Olivier Rochus,4,4,74,45,61,33,45,8,16,0,3,72,44,61,29,44,5,17
2013,https://www.atptour.com//en/scores/2013/339/QS028/match-stats?isLive=False,l799,n503,Jesse Levine,Aleksandr Nedovyesov,2,2,60,34,57,26,34,14,23,6,1,64,43,67,25,43,11,24
2013,https://www.atptour.com//en/scores/2013/339/QS019/match-stats?isLive=False,be90,m836,Ricardas Berankis,Dominik Meffert,1,2,54,38,70,27,38,21,32,5,5,49,57,116,39,57,25,59
2013,https://www.atptour.com//en/scores/2013/339/QS031/match-stats?isLive=False,j386,d776,Steve Johnson,Thiemo de Bakker,8,3,56,30,54,25,30,14,24,13,0,64,36,56,25,36,9,20
2013,https://www.atptour.com//en/scores/2013/339/QS023/match-stats?isLive=False,w571,sf62,Di Wu,Tim Smyczek,0,3,51,36,70,29,36,19,34,3,1,75,40,53,30,40,5,13
2013,https://www.atptour.com//en/scores/2013/339/QS027/match-stats?isLive=False,b842,d551,Alex Bogomolov Jr.,Farrukh Dustov,2,2,73,24,33,19,24,3,9,3,3,60,18,30,9,18,2,12
2013,https://www.atptour.com//en/scores/2013/339/QS029/match-stats?isLive=False,d499,w522,Frank Dancevic,Rhyne Williams,7,2,54,28,52,24,28,13,24,4,2,63,36,57,21,36,8,21
2013,https://www.atptour.com//en/scores/2013/339/QS017/match-stats?isLive=False,d994,ke17,James Duckworth,Nick Kyrgios,14,1,55,35,64,27,35,21,29,6,3,57,32,56,25,32,10,24
2013,https://www.atptour.com//en/scores/2013/339/QS021/match-stats?isLive=False,k624,r977,Bastian Knittel,Matt Reid,7,6,55,56,102,38,56,22,46,10,11,49,42,86,32,42,23,44
2013,https://www.atptour.com//en/scores/2013/339/QS018/match-stats?isLive=False,kb09,sj55,Denis Kudla,John-Patrick Smith,3,4,62,63,102,46,63,24,39,6,3,58,62,107,45,62,21,45
2013,https://www.atptour.com//en/scores/2013/339/QS026/match-stats?isLive=False,mh30,sm09,John Millman,Luke Saville,4,0,59,22,37,21,22,11,15,3,2,71,37,52,23,37,4,15
2013,https://www.atptour.com//en/scores/2013/339/QS022/match-stats?isLive=False,ma41,g511,Ivo Minar,Simon Greul,14,0,54,31,57,24,31,16,26,1,2,61,45,74,29,45,14,29
2013,https://www.atptour.com//en/scores/2013/339/QS030/match-stats?isLive=False,mi01,sm25,Hiroki Moriya,Jack Sock,3,11,44,56,128,42,56,39,72,18,5,57,52,92,41,52,24,40
2013,https://www.atptour.com//en/scores/2013/339/QS025/match-stats?isLive=False,z168,sg87,Mischa Zverev,Ryan Sweeting,3,2,71,35,49,26,35,8,14,4,3,70,40,57,19,40,8,17
2013,https://www.atptour.com//en/scores/2013/451/MS001/match-stats?isLive=False,g628,d402,Richard Gasquet,Nikolay Davydenko,5,5,60,54,90,36,54,20,36,2,1,73,82,113,50,82,15,31
2013,https://www.atptour.com//en/scores/2013/451/MS002/match-stats?isLive=False,d402,f401,Nikolay Davydenko,David Ferrer,0,0,68,26,38,22,26,10,12,0,0,73,41,56,23,41,6,15
2013,https://www.atptour.com//en/scores/2013/451/MS003/match-stats?isLive=False,g628,bc72,Richard Gasquet,Daniel Brands,7,0,62,44,71,37,44,16,27,10,1,76,60,79,43,60,7,19
2013,https://www.atptour.com//en/scores/2013/451/MS004/match-stats?isLive=False,f401,l503,David Ferrer,Paolo Lorenzi,4,2,67,30,45,23,30,10,15,2,2,61,30,49,17,30,4,19
2013,https://www.atptour.com//en/scores/2013/451/MS007/match-stats?isLive=False,g628,l797,Richard Gasquet,Lukas Lacko,8,1,65,33,51,24,33,9,18,2,2,55,32,58,18,32,8,26
2013,https://www.atptour.com//en/scores/2013/451/MS006/match-stats?isLive=False,bc72,mc65,Daniel Brands,Gael Monfils,5,1,72,44,61,34,44,11,17,8,4,75,36,48,24,36,3,12
2013,https://www.atptour.com//en/scores/2013/451/MS005/match-stats?isLive=False,d402,ba98,Nikolay Davydenko,Simone Bolelli,0,0,73,27,37,21,27,7,10,0,0,63,20,32,5,20,5,12
2013,https://www.atptour.com//en/scores/2013/451/MS008/match-stats?isLive=False,f401,k839,David Ferrer,Tobias Kamke,2,0,74,45,61,28,45,11,16,0,1,58,30,52,21,30,6,22
2013,https://www.atptour.com//en/scores/2013/451/MS015/match-stats?isLive=False,g628,z189,Richard Gasquet,Grega Zemlja,14,5,55,64,117,49,64,31,53,17,1,67,84,126,65,84,17,42
2013,https://www.atptour.com//en/scores/2013/451/MS013/match-stats?isLive=False,mc65,k435,Gael Monfils,Philipp Kohlschreiber,10,0,67,63,94,43,63,15,31,2,1,61,52,85,34,52,22,33
