year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2014,https://www.atptour.com//en/scores/2014/500/QS012/match-stats?isLive=False,l430,be90,Giovanni Lapentti,Ricardas Berankis,3,0,67,41,61,27,41,13,20,2,2,57,41,72,25,41,15,31
2014,https://www.atptour.com//en/scores/2014/500/QS014/match-stats?isLive=False,o411,l950,Albano Olivetti,Alexandar Lazov,12,7,51,23,45,23,23,13,22,5,1,74,34,46,24,34,4,12
2014,https://www.atptour.com//en/scores/2014/500/QS013/match-stats?isLive=False,me89,z357,Illya Marchenko,Lennart Zynga,2,2,67,34,51,28,34,10,17,2,2,55,27,49,21,27,8,22
2014,https://www.atptour.com//en/scores/2014/500/QS009/match-stats?isLive=False,g551,c582,Santiago Gonzalez,Marco Chiudinelli,9,2,71,41,58,33,41,8,17,2,0,58,28,48,20,28,10,20
2014,https://www.atptour.com//en/scores/2014/500/QS011/match-stats?isLive=False,r397,h442,Olivier Rochus,Jan Hernych,2,4,58,41,71,34,41,20,30,10,3,63,51,81,38,51,16,30
2014,https://www.atptour.com//en/scores/2014/500/QS015/match-stats?isLive=False,pf00,bi81,Mate Pavic,Alex Bolt,7,2,72,36,50,28,36,8,14,3,7,67,39,58,28,39,5,19
2014,https://www.atptour.com//en/scores/2014/500/QS023/match-stats?isLive=False,h442,l580,Jan Hernych,Scott Lipsky,3,0,80,8,10,6,8,2,2,3,2,65,17,26,9,17,5,9
2014,https://www.atptour.com//en/scores/2014/500/QS031/match-stats?isLive=False,bi81,su09,Alex Bolt,Philipp Scholz,2,3,65,31,48,24,31,9,17,2,3,57,25,44,16,25,6,19
2014,https://www.atptour.com//en/scores/2014/500/QS017/match-stats?isLive=False,be67,j553,Mirza Basic,Omar Jasika,6,0,70,32,46,25,32,12,14,1,5,49,26,53,17,26,15,27
2014,https://www.atptour.com//en/scores/2014/500/QS018/match-stats?isLive=False,g551,d935,Santiago Gonzalez,Gibril Diarra,9,3,64,42,66,34,42,11,24,5,5,64,46,72,30,46,8,26
2014,https://www.atptour.com//en/scores/2014/500/QS025/match-stats?isLive=False,l430,mj71,Giovanni Lapentti,Mats Moraing,2,4,66,69,105,45,69,19,36,17,6,55,51,92,38,51,12,41
2014,https://www.atptour.com//en/scores/2014/500/QS029/match-stats?isLive=False,l950,w655,Alexandar Lazov,Matthias Wunner,7,3,55,37,67,30,37,16,30,3,5,59,47,79,32,47,11,32
2014,https://www.atptour.com//en/scores/2014/500/QS021/match-stats?isLive=False,mg54,pc68,Yann Marti,Tim Puetz,2,5,62,53,85,37,53,15,32,6,10,52,41,79,29,41,16,38
2014,https://www.atptour.com//en/scores/2014/500/QS030/match-stats?isLive=False,pf00,bc65,Mate Pavic,Matthias Bachinger,9,0,68,58,85,40,58,14,27,7,1,62,50,81,39,50,12,31
2014,https://www.atptour.com//en/scores/2014/500/QS022/match-stats?isLive=False,r397,da17,Olivier Rochus,Maximilian Dinslaken,1,4,73,49,67,37,49,10,18,13,7,52,34,66,26,34,11,32
2014,https://www.atptour.com//en/scores/2014/500/QS026/match-stats?isLive=False,z357,kd77,Lennart Zynga,Neven Krivokuca,13,7,63,51,81,38,51,14,30,4,7,58,59,102,37,59,19,43
2014,https://www.atptour.com//en/scores/2014/311/MS001/match-stats?isLive=False,d875,l397,Grigor Dimitrov,Feliciano Lopez,27,6,74,86,117,74,86,13,31,13,5,72,91,127,72,91,15,36
2014,https://www.atptour.com//en/scores/2014/311/MS002/match-stats?isLive=False,d875,w367,Grigor Dimitrov,Stan Wawrinka,9,2,62,33,53,28,33,11,20,6,2,66,33,50,24,33,7,17
2014,https://www.atptour.com//en/scores/2014/311/MS003/match-stats?isLive=False,l397,s694,Feliciano Lopez,Radek Stepanek,6,1,59,41,70,33,41,21,29,10,3,57,45,79,34,45,19,34
2014,https://www.atptour.com//en/scores/2014/311/MS004/match-stats?isLive=False,w367,me05,Stan Wawrinka,Marinko Matosevic,10,3,56,33,59,27,33,18,26,2,1,54,31,57,26,31,11,26
2014,https://www.atptour.com//en/scores/2014/311/MS007/match-stats?isLive=False,l397,ba47,Feliciano Lopez,Tomas Berdych,13,2,74,48,65,43,48,8,17,7,4,62,46,74,36,46,13,28
2014,https://www.atptour.com//en/scores/2014/311/MS006/match-stats?isLive=False,s694,a678,Radek Stepanek,Kevin Anderson,5,1,69,49,71,36,49,12,22,15,1,65,48,74,36,48,9,26
2014,https://www.atptour.com//en/scores/2014/311/MS008/match-stats?isLive=False,w367,q927,Stan Wawrinka,Sam Querrey,7,1,62,26,42,21,26,11,16,3,4,50,24,48,13,24,14,24
2014,https://www.atptour.com//en/scores/2014/311/MS015/match-stats?isLive=False,ba47,me82,Tomas Berdych,Adrian Mannarino,13,2,57,34,60,34,34,14,26,8,2,60,75,125,45,75,24,50
2014,https://www.atptour.com//en/scores/2014/311/MS013/match-stats?isLive=False,s694,mc10,Radek Stepanek,Andy Murray,11,4,63,42,67,38,42,8,25,6,5,64,60,94,38,60,15,34
2014,https://www.atptour.com//en/scores/2014/311/MS010/match-stats?isLive=False,d875,r613,Grigor Dimitrov,Edouard Roger-Vasselin,15,3,65,41,63,36,41,10,22,5,4,69,57,83,38,57,12,26
2014,https://www.atptour.com//en/scores/2014/311/MS009/match-stats?isLive=False,me05,t786,Marinko Matosevic,Jo-Wilfried Tsonga,1,1,54,26,48,21,26,17,22,4,2,59,38,64,24,38,11,26
2014,https://www.atptour.com//en/scores/2014/311/MS012/match-stats?isLive=False,a678,sc77,Kevin Anderson,Sergiy Stakhovsky,12,2,58,47,81,38,47,21,34,10,4,66,75,114,56,75,15,39
2014,https://www.atptour.com//en/scores/2014/311/MS011/match-stats?isLive=False,d801,n289,Alexandr Dolgopolov,Jarkko Nieminen,11,2,53,28,53,23,28,14,25,4,2,73,35,48,20,35,7,13
2014,https://www.atptour.com//en/scores/2014/311/MS014/match-stats?isLive=False,l397,d750,Feliciano Lopez,Kenny De Schepper,15,2,71,76,107,67,76,18,31,24,3,77,89,116,74,89,12,27
2014,https://www.atptour.com//en/scores/2014/311/MS016/match-stats?isLive=False,w367,b837,Stan Wawrinka,Marcos Baghdatis,4,1,53,8,15,7,8,5,7,0,0,82,9,11,7,9,1,2
2014,https://www.atptour.com//en/scores/2014/311/MS031/match-stats?isLive=False,ba47,d994,Tomas Berdych,James Duckworth,19,8,58,56,97,48,56,20,41,8,4,64,75,117,55,75,20,42
2014,https://www.atptour.com//en/scores/2014/311/MS027/match-stats?isLive=False,mc10,m850,Andy Murray,Paul-Henri Mathieu,10,2,68,38,56,35,38,7,18,5,6,56,45,81,32,45,15,36
2014,https://www.atptour.com//en/scores/2014/311/MS020/match-stats?isLive=False,d875,w503,Grigor Dimitrov,James Ward,8,5,68,39,57,32,39,11,18,1,2,83,50,60,33,50,4,10
2014,https://www.atptour.com//en/scores/2014/311/MS019/match-stats?isLive=False,t786,gb88,Jo-Wilfried Tsonga,David Goffin,9,2,61,39,64,32,39,17,25,4,2,71,46,65,33,46,11,19
2014,https://www.atptour.com//en/scores/2014/311/MS028/match-stats?isLive=False,d750,g858,Kenny De Schepper,Ernests Gulbis,10,4,81,58,72,50,58,7,14,9,2,69,46,67,39,46,10,21
2014,https://www.atptour.com//en/scores/2014/311/MS024/match-stats?isLive=False,a678,e687,Kevin Anderson,Daniel Evans,10,5,60,34,57,32,34,8,23,2,2,61,30,49,18,30,11,19
2014,https://www.atptour.com//en/scores/2014/311/MS023/match-stats?isLive=False,d801,i165,Alexandr Dolgopolov,Denis Istomin,11,4,67,65,97,48,65,17,32,7,1,81,83,102,51,83,12,19
2014,https://www.atptour.com//en/scores/2014/311/MS029/match-stats?isLive=False,l397,h432,Feliciano Lopez,Lleyton Hewitt,10,4,54,28,52,24,28,16,24,6,4,53,25,47,19,25,11,22
2014,https://www.atptour.com//en/scores/2014/311/MS025/match-stats?isLive=False,sc77,pd07,Sergiy Stakhovsky,Vasek Pospisil,2,2,60,35,58,28,35,13,23,4,4,67,37,55,28,37,6,18
2014,https://www.atptour.com//en/scores/2014/311/MS022/match-stats?isLive=False,n289,t315,Jarkko Nieminen,Dmitry Tursunov,1,1,83,58,70,45,58,7,12,9,5,64,62,97,50,62,7,35
2014,https://www.atptour.com//en/scores/2014/311/MS021/match-stats?isLive=False,r613,m873,Edouard Roger-Vasselin,Nicolas Mahut,7,1,68,69,102,47,69,18,33,18,3,70,61,87,47,61,14,26
2014,https://www.atptour.com//en/scores/2014/311/MS026/match-stats?isLive=False,s694,ta46,Radek Stepanek,Bernard Tomic,8,2,72,59,82,46,59,11,23,2,0,63,56,89,38,56,18,33
2014,https://www.atptour.com//en/scores/2014/311/MS030/match-stats?isLive=False,me82,e224,Adrian Mannarino,Victor Estrella Burgos,6,0,72,36,50,27,36,9,14,3,1,64,27,42,14,27,5,15
2014,https://www.atptour.com//en/scores/2014/311/MS018/match-stats?isLive=False,me05,l797,Marinko Matosevic,Lukas Lacko,14,2,68,41,60,34,41,12,19,3,2,63,40,63,27,40,11,23
2014,https://www.atptour.com//en/scores/2014/311/MS017/match-stats?isLive=False,q927,kb09,Sam Querrey,Denis Kudla,14,2,73,38,52,33,38,8,14,4,3,70,43,61,30,43,7,18
2014,https://www.atptour.com//en/scores/2014/311/MS036/match-stats?isLive=False,me05,c977,Marinko Matosevic,Marin Cilic,4,1,68,39,57,32,39,10,18,8,1,50,30,60,22,30,16,30
2014,https://www.atptour.com//en/scores/2014/311/MS059/match-stats?isLive=False,l397,l987,Feliciano Lopez,Dusan Lajovic,16,6,52,53,101,40,53,24,48,3,4,56,53,94,37,53,14,41
2014,https://www.atptour.com//en/scores/2014/311/MS051/match-stats?isLive=False,pd07,l503,Vasek Pospisil,Paolo Lorenzi,5,4,69,59,86,42,59,12,27,1,3,60,46,77,33,46,15,31
2014,https://www.atptour.com//en/scores/2014/311/MS044/match-stats?isLive=False,t315,sf36,Dmitry Tursunov,Igor Sijsling,6,1,61,33,54,26,33,16,21,4,4,61,31,51,23,31,9,20
2014,https://www.atptour.com//en/scores/2014/311/MS043/match-stats?isLive=False,m873,k771,Nicolas Mahut,Marsel Ilhan,15,3,79,44,56,37,44,6,12,6,1,64,38,59,23,38,15,21
2014,https://www.atptour.com//en/scores/2014/311/MS035/match-stats?isLive=False,q927,ca12,Sam Querrey,Jeremy Chardy,31,2,66,79,120,68,79,25,41,25,4,71,77,109,68,77,20,32
2014,https://www.atptour.com//en/scores/2014/311/MS052/match-stats?isLive=False,s694,k926,Radek Stepanek,Mikhail Kukushkin,9,1,66,41,62,31,41,10,21,1,0,67,40,60,21,40,8,20
2014,https://www.atptour.com//en/scores/2014/311/MS060/match-stats?isLive=False,e224,b747,Victor Estrella Burgos,Julien Benneteau,12,4,62,73,117,57,73,22,44,12,3,66,62,94,49,62,19,32
2014,https://www.atptour.com//en/scores/2014/311/MS033/match-stats?isLive=False,b837,ka98,Marcos Baghdatis,Bradley Klahn,9,3,54,47,87,37,47,22,40,6,7,68,65,95,38,65,12,30
2014,https://www.atptour.com//en/scores/2014/311/MS057/match-stats?isLive=False,d750,d616,Kenny De Schepper,Somdev Devvarman,14,1,72,43,60,35,43,11,17,2,0,65,39,60,27,39,14,21
