year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2008,https://www.atptour.com//en/scores/2008/451/MS001/match-stats?isLive=False,mc10,w367,Andy Murray,Stan Wawrinka,4,5,56,51,91,36,51,20,40,6,3,76,77,101,39,77,15,24
2008,https://www.atptour.com//en/scores/2008/451/MS002/match-stats?isLive=False,mc10,d402,Andy Murray,Nikolay Davydenko,2,1,55,28,51,21,28,17,23,1,2,67,38,57,24,38,9,19
2008,https://www.atptour.com//en/scores/2008/451/MS003/match-stats?isLive=False,w367,l360,Stan Wawrinka,Ivan Ljubicic,8,4,59,34,58,30,34,17,24,8,2,71,45,63,35,45,8,18
2008,https://www.atptour.com//en/scores/2008/451/MS004/match-stats?isLive=False,d402,t315,Nikolay Davydenko,Dmitry Tursunov,5,4,72,46,64,30,46,9,18,3,3,54,44,81,25,44,14,37
2008,https://www.atptour.com//en/scores/2008/451/MS005/match-stats?isLive=False,mc10,j129,Andy Murray,Thomas Johansson,11,2,64,35,55,28,35,15,20,2,2,72,44,61,24,44,9,17
2008,https://www.atptour.com//en/scores/2008/451/MS006/match-stats?isLive=False,l360,k435,Ivan Ljubicic,Philipp Kohlschreiber,14,2,68,67,99,54,67,15,32,5,2,61,52,85,42,52,13,33
2008,https://www.atptour.com//en/scores/2008/451/MS007/match-stats?isLive=False,w367,c478,Stan Wawrinka,Agustin Calleri,4,0,59,23,39,20,23,12,16,2,3,47,28,59,19,28,9,31
2008,https://www.atptour.com//en/scores/2008/451/MS008/match-stats?isLive=False,d402,s424,Nikolay Davydenko,Fabrice Santoro,1,2,63,36,57,27,36,13,21,0,2,53,25,47,15,25,13,22
2008,https://www.atptour.com//en/scores/2008/451/MS010/match-stats?isLive=False,mc10,s636,Andy Murray,Rainer Schuettler,5,2,60,44,73,32,44,12,29,0,1,56,28,50,15,28,12,22
2008,https://www.atptour.com//en/scores/2008/451/MS012/match-stats?isLive=False,k435,v254,Philipp Kohlschreiber,Filippo Volandri,1,1,62,29,47,22,29,10,18,1,1,56,28,50,17,28,8,22
2008,https://www.atptour.com//en/scores/2008/451/MS015/match-stats?isLive=False,c478,l311,Agustin Calleri,Hyung-Taik Lee,7,2,52,23,44,18,23,13,21,2,1,65,37,57,20,37,5,20
2008,https://www.atptour.com//en/scores/2008/451/MS011/match-stats?isLive=False,j129,b678,Thomas Johansson,Michael Berrer,3,0,71,56,79,43,56,11,23,6,5,60,39,65,28,39,14,26
2008,https://www.atptour.com//en/scores/2008/451/MS014/match-stats?isLive=False,w367,r336,Stan Wawrinka,Christophe Rochus,10,1,56,38,68,29,38,15,30,1,1,64,46,72,29,46,9,26
2008,https://www.atptour.com//en/scores/2008/451/MS016/match-stats?isLive=False,d402,d385,Nikolay Davydenko,Benedikt Dorsch,1,3,91,41,45,29,41,0,4,2,2,73,43,59,18,43,8,16
2008,https://www.atptour.com//en/scores/2008/451/MS031/match-stats?isLive=False,c478,r419,Agustin Calleri,Tommy Robredo,4,3,52,33,64,26,33,16,31,1,1,70,40,57,27,40,8,17
