year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2016,https://www.atptour.com//en/scores/2016/451/MS001/match-stats?isLive=False,d643,n409,Novak Djokovic,Rafael Nadal,4,1,75,33,44,26,33,8,11,3,1,65,28,43,14,28,6,15
2016,https://www.atptour.com//en/scores/2016/451/MS002/match-stats?isLive=False,d643,ba47,Novak Djokovic,Tomas Berdych,4,1,65,45,69,35,45,13,24,4,4,59,40,68,28,40,13,28
2016,https://www.atptour.com//en/scores/2016/451/MS003/match-stats?isLive=False,n409,me89,Rafael Nadal,Illya Marchenko,6,0,70,37,53,33,37,8,16,6,1,65,35,54,27,35,7,19
2016,https://www.atptour.com//en/scores/2016/451/MS004/match-stats?isLive=False,d643,md56,Novak Djokovic,Leonardo Mayer,2,0,67,38,57,30,38,7,19,3,5,63,41,65,22,41,10,24
2016,https://www.atptour.com//en/scores/2016/451/MS007/match-stats?isLive=False,n409,kb54,Rafael Nadal,Andrey Kuznetsov,3,0,65,56,86,36,56,15,30,8,4,53,47,88,33,47,19,41
2016,https://www.atptour.com//en/scores/2016/451/MS005/match-stats?isLive=False,ba47,e831,Tomas Berdych,Kyle Edmund,7,2,51,30,59,22,30,19,29,1,0,66,39,59,22,39,10,20
2016,https://www.atptour.com//en/scores/2016/451/MS006/match-stats?isLive=False,me89,ca12,Illya Marchenko,Jeremy Chardy,4,0,54,36,67,26,36,19,31,12,4,73,45,62,32,45,5,17
2016,https://www.atptour.com//en/scores/2016/451/MS008/match-stats?isLive=False,d643,v306,Novak Djokovic,Fernando Verdasco,2,2,67,34,51,26,34,11,17,4,2,63,33,52,19,33,6,19
2016,https://www.atptour.com//en/scores/2016/451/MS015/match-stats?isLive=False,n409,h756,Rafael Nadal,Robin Haase,1,2,74,39,53,30,39,9,14,8,0,70,33,47,21,33,4,14
2016,https://www.atptour.com//en/scores/2016/451/MS010/match-stats?isLive=False,ba47,d923,Tomas Berdych,Damir Dzumhur,6,2,53,25,47,19,25,9,22,0,3,60,38,63,16,38,11,25
2016,https://www.atptour.com//en/scores/2016/451/MS012/match-stats?isLive=False,ca12,m850,Jeremy Chardy,Paul-Henri Mathieu,12,1,71,32,45,29,32,8,13,1,4,52,29,56,22,29,11,27
2016,https://www.atptour.com//en/scores/2016/451/MS009/match-stats?isLive=False,md56,a596,Leonardo Mayer,Pablo Andujar,6,1,58,28,48,26,28,10,20,2,0,68,38,56,25,38,8,18
2016,https://www.atptour.com//en/scores/2016/451/MS011/match-stats?isLive=False,e831,m915,Kyle Edmund,Daniel Munoz de la Nava,9,0,71,72,102,50,72,15,30,11,3,53,54,102,41,54,21,48
2016,https://www.atptour.com//en/scores/2016/451/MS014/match-stats?isLive=False,kb54,be90,Andrey Kuznetsov,Ricardas Berankis,4,4,57,41,72,25,41,17,31,4,2,54,38,70,21,38,12,32
2016,https://www.atptour.com//en/scores/2016/451/MS013/match-stats?isLive=False,me89,g681,Illya Marchenko,Teymuraz Gabashvili,3,1,61,31,51,25,31,13,20,3,3,67,39,58,27,39,8,19
2016,https://www.atptour.com//en/scores/2016/451/MS016/match-stats?isLive=False,d643,ba65,Novak Djokovic,Dustin Brown,2,0,80,32,40,23,32,7,8,1,4,58,32,55,18,32,8,23
