year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
1993,https://www.atptour.com//en/scores/1993/451/MS001/match-stats?isLive=False,b028,i034,Boris Becker,Goran Ivanisevic,10,4,66,69,104,52,69,19,35,15,7,63,73,116,54,73,20,43
1993,https://www.atptour.com//en/scores/1993/451/MS002/match-stats?isLive=False,b028,e004,Boris Becker,Stefan Edberg,3,1,62,38,61,25,38,13,23,4,4,60,40,67,31,40,8,27
1993,https://www.atptour.com//en/scores/1993/451/MS003/match-stats?isLive=False,i034,c260,Goran Ivanisevic,Andrei Cherkasov,8,1,48,21,44,19,21,15,23,2,1,63,40,64,23,40,9,24
1993,https://www.atptour.com//en/scores/1993/451/MS004/match-stats?isLive=False,e004,p045,Stefan Edberg,Gianluca Pozzi,1,1,51,19,37,15,19,11,18,0,5,40,17,42,8,17,5,25
1993,https://www.atptour.com//en/scores/1993/451/MS007/match-stats?isLive=False,i034,k030,Goran Ivanisevic,Patrik Kuhnen,16,1,62,33,53,29,33,14,20,4,3,47,31,66,24,31,15,35
1993,https://www.atptour.com//en/scores/1993/451/MS005/match-stats?isLive=False,b028,s015,Boris Becker,Javier Sanchez,4,5,57,26,46,23,26,13,20,1,1,53,33,62,20,33,16,29
1993,https://www.atptour.com//en/scores/1993/451/MS006/match-stats?isLive=False,c260,g028,Andrei Cherkasov,Marcos Aurelio Gorriz,1,3,63,42,67,30,42,14,25,1,0,57,32,56,18,32,11,24
1993,https://www.atptour.com//en/scores/1993/451/MS008/match-stats?isLive=False,e004,k267,Stefan Edberg,Yevgeny Kafelnikov,3,6,62,41,66,31,41,14,25,3,2,49,30,61,20,30,14,31
1993,https://www.atptour.com//en/scores/1993/451/MS015/match-stats?isLive=False,i034,o009,Goran Ivanisevic,Andrei Olhovskiy,7,1,52,31,60,25,31,19,29,5,0,54,50,93,29,50,24,43
1993,https://www.atptour.com//en/scores/1993/451/MS010/match-stats?isLive=False,b028,s454,Boris Becker,Stephane Simian,7,8,53,34,64,31,34,15,30,3,2,65,40,62,28,40,9,22
1993,https://www.atptour.com//en/scores/1993/451/MS013/match-stats?isLive=False,c260,e121,Andrei Cherkasov,Younes El Aynaoui,1,0,66,0,86,41,57,20,29,7,3,62,65,105,48,65,14,40
1993,https://www.atptour.com//en/scores/1993/451/MS009/match-stats?isLive=False,p045,s381,Gianluca Pozzi,Jan Siemerink,0,5,42,51,121,36,51,39,70,7,5,53,68,128,44,68,33,60
1993,https://www.atptour.com//en/scores/1993/451/MS012/match-stats?isLive=False,g028,w133,Marcos Aurelio Gorriz,Bart Wuyts,0,0,65,0,57,22,37,11,20,0,2,59,30,51,12,30,8,21
1993,https://www.atptour.com//en/scores/1993/451/MS014/match-stats?isLive=False,k030,s021,Patrik Kuhnen,Michiel Schapers,2,0,48,0,52,21,25,15,27,1,4,72,48,67,27,48,7,19
1993,https://www.atptour.com//en/scores/1993/451/MS016/match-stats?isLive=False,e004,b305,Stefan Edberg,Karsten Braasch,2,1,57,46,81,31,46,22,35,7,2,47,41,88,30,41,23,47
1993,https://www.atptour.com//en/scores/1993/451/MS031/match-stats?isLive=False,i034,d170,Goran Ivanisevic,Hendrik Jan Davids,12,2,58,35,60,32,35,12,25,3,5,66,45,68,27,45,12,23
1993,https://www.atptour.com//en/scores/1993/451/MS020/match-stats?isLive=False,b028,m096,Boris Becker,Gary Muller,6,4,65,58,89,41,58,18,31,8,4,64,54,84,36,54,12,30
1993,https://www.atptour.com//en/scores/1993/451/MS027/match-stats?isLive=False,c260,s315,Andrei Cherkasov,Gilbert Schaller,3,1,63,52,83,32,52,19,31,1,1,77,68,88,40,68,8,20
1993,https://www.atptour.com//en/scores/1993/451/MS024/match-stats?isLive=False,g028,r214,Marcos Aurelio Gorriz,Marc Rosset,1,3,61,51,83,34,51,18,32,8,5,56,52,93,35,52,21,41
1993,https://www.atptour.com//en/scores/1993/451/MS023/match-stats?isLive=False,s015,j082,Javier Sanchez,Murphy Jensen,0,1,83,43,52,29,43,5,9,3,8,51,30,59,15,30,13,29
1993,https://www.atptour.com//en/scores/1993/451/MS019/match-stats?isLive=False,s381,a028,Jan Siemerink,Alex Antonitsch,3,4,57,49,86,35,49,23,37,4,3,57,50,87,37,50,14,37
1993,https://www.atptour.com//en/scores/1993/451/MS028/match-stats?isLive=False,k030,c216,Patrik Kuhnen,Tomas Carbonell,3,2,59,49,83,33,49,19,34,3,0,73,61,84,38,61,7,23
1993,https://www.atptour.com//en/scores/1993/451/MS026/match-stats?isLive=False,e121,g252,Younes El Aynaoui,Marc-Kevin Goellner,10,2,55,59,107,49,59,23,48,11,5,51,63,123,44,63,37,60
1993,https://www.atptour.com//en/scores/1993/451/MS017/match-stats?isLive=False,k267,b021,Yevgeny Kafelnikov,Jeremy Bates,2,5,50,28,56,21,28,16,28,2,1,44,24,55,13,24,14,31
1993,https://www.atptour.com//en/scores/1993/451/MS022/match-stats?isLive=False,m440,c028,Andrei Merinov,Thierry Champion,2,2,60,50,83,31,50,16,33,1,2,68,61,90,36,61,12,29
1993,https://www.atptour.com//en/scores/1993/451/MS030/match-stats?isLive=False,o009,p037,Andrei Olhovskiy,Claudio Pistolesi,4,3,68,34,50,28,34,8,16,2,3,62,42,68,22,42,12,26
1993,https://www.atptour.com//en/scores/1993/451/MS018/match-stats?isLive=False,p045,n109,Gianluca Pozzi,Diego Nargiso,0,0,45,0,67,22,30,25,37,0,5,43,31,72,23,31,22,41
1993,https://www.atptour.com//en/scores/1993/451/MS029/match-stats?isLive=False,s021,z045,Michiel Schapers,Markus Zoecke,3,1,65,41,63,32,41,13,22,0,1,63,30,48,17,30,9,18
