year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2011,https://www.atptour.com//en/scores/2011/339/MS001/match-stats?isLive=False,sa49,r485,Robin Soderling,Andy Roddick,16,2,72,39,54,35,39,9,15,12,1,66,44,67,33,44,9,23
2011,https://www.atptour.com//en/scores/2011/339/MS002/match-stats?isLive=False,sa49,s694,Robin Soderling,Radek Stepanek,7,1,65,36,55,31,36,12,19,9,3,61,39,64,27,39,9,25
2011,https://www.atptour.com//en/scores/2011/339/MS003/match-stats?isLive=False,r485,a678,Andy Roddick,Kevin Anderson,15,1,67,47,70,41,47,9,23,13,4,65,53,82,33,53,16,29
2011,https://www.atptour.com//en/scores/2011/339/MS004/match-stats?isLive=False,sa49,e690,Robin Soderling,Matthew Ebden,9,3,71,39,55,30,39,7,16,5,3,65,39,60,25,39,9,21
2011,https://www.atptour.com//en/scores/2011/339/MS007/match-stats?isLive=False,r485,b837,Andy Roddick,Marcos Baghdatis,7,0,65,31,48,24,31,10,17,3,0,39,19,49,15,19,10,30
2011,https://www.atptour.com//en/scores/2011/339/MS005/match-stats?isLive=False,s694,mb02,Radek Stepanek,Florian Mayer,3,0,48,24,50,20,24,16,26,1,2,61,43,71,27,43,11,28
2011,https://www.atptour.com//en/scores/2011/339/MS006/match-stats?isLive=False,a678,g725,Kevin Anderson,Santiago Giraldo,12,3,66,54,82,41,54,10,28,3,1,66,46,70,34,46,11,24
2011,https://www.atptour.com//en/scores/2011/339/MS008/match-stats?isLive=False,sa49,b678,Robin Soderling,Michael Berrer,9,1,69,51,74,40,51,13,23,8,1,63,43,68,32,43,14,25
2011,https://www.atptour.com//en/scores/2011/339/MS015/match-stats?isLive=False,r485,d801,Andy Roddick,Alexandr Dolgopolov,15,1,71,30,42,26,30,8,12,7,3,59,33,56,21,33,9,23
2011,https://www.atptour.com//en/scores/2011/339/MS010/match-stats?isLive=False,s694,f339,Radek Stepanek,Mardy Fish,3,2,71,32,45,28,32,6,13,9,2,67,40,60,23,40,6,20
2011,https://www.atptour.com//en/scores/2011/339/MS014/match-stats?isLive=False,b837,k540,Marcos Baghdatis,Lukasz Kubot,5,1,55,26,47,19,26,12,21,0,4,53,26,49,13,26,8,23
2011,https://www.atptour.com//en/scores/2011/339/MS012/match-stats?isLive=False,a678,l397,Kevin Anderson,Feliciano Lopez,15,1,71,27,38,24,27,8,11,6,0,72,38,53,22,38,6,15
2011,https://www.atptour.com//en/scores/2011/339/MS011/match-stats?isLive=False,mb02,be90,Florian Mayer,Ricardas Berankis,4,1,63,52,83,33,52,15,31,6,6,51,56,109,38,56,20,53
2011,https://www.atptour.com//en/scores/2011/339/MS009/match-stats?isLive=False,e690,i165,Matthew Ebden,Denis Istomin,5,1,73,45,62,32,45,7,17,1,7,54,30,56,18,30,14,26
2011,https://www.atptour.com//en/scores/2011/339/MS013/match-stats?isLive=False,g725,b896,Santiago Giraldo,Benjamin Becker,2,0,71,52,73,36,52,13,21,7,0,60,26,43,21,26,10,17
2011,https://www.atptour.com//en/scores/2011/339/MS016/match-stats?isLive=False,sa49,h940,Robin Soderling,Ryan Harrison,8,3,62,32,52,26,32,13,20,4,1,54,27,50,16,27,12,23
2011,https://www.atptour.com//en/scores/2011/339/MS031/match-stats?isLive=False,r485,me05,Andy Roddick,Marinko Matosevic,5,1,62,29,47,23,29,13,18,2,0,46,22,48,12,22,12,26
2011,https://www.atptour.com//en/scores/2011/339/MS027/match-stats?isLive=False,b896,v306,Benjamin Becker,Fernando Verdasco,6,4,54,53,99,42,53,23,46,10,5,60,47,78,34,47,14,31
2011,https://www.atptour.com//en/scores/2011/339/MS020/match-stats?isLive=False,f339,me82,Mardy Fish,Adrian Mannarino,11,0,55,28,51,23,28,16,23,1,6,54,37,68,24,37,11,31
2011,https://www.atptour.com//en/scores/2011/339/MS028/match-stats?isLive=False,b837,s963,Marcos Baghdatis,Florent Serra,13,2,51,46,91,35,46,22,45,7,2,60,62,103,44,62,19,41
2011,https://www.atptour.com//en/scores/2011/339/MS024/match-stats?isLive=False,l397,p624,Feliciano Lopez,Philipp Petzschner,11,7,51,39,77,33,39,21,38,9,5,44,30,68,25,30,22,38
2011,https://www.atptour.com//en/scores/2011/339/MS023/match-stats?isLive=False,mb02,ta46,Florian Mayer,Bernard Tomic,12,0,71,25,35,23,25,9,10,5,0,59,34,58,22,34,6,24
2011,https://www.atptour.com//en/scores/2011/339/MS019/match-stats?isLive=False,i165,d776,Denis Istomin,Thiemo de Bakker,6,1,68,43,63,33,43,16,20,10,1,60,43,72,31,43,17,29
2011,https://www.atptour.com//en/scores/2011/339/MS025/match-stats?isLive=False,a678,l515,Kevin Anderson,Peter Luczak,18,0,75,33,44,31,33,9,11,4,2,71,41,58,28,41,10,17
2011,https://www.atptour.com//en/scores/2011/339/MS022/match-stats?isLive=False,be90,c487,Ricardas Berankis,Arnaud Clement,8,2,55,30,55,24,30,13,25,6,3,58,37,64,26,37,11,27
2011,https://www.atptour.com//en/scores/2011/339/MS017/match-stats?isLive=False,b678,sc56,Michael Berrer,Dudi Sela,9,3,55,54,99,34,54,28,45,16,4,57,59,103,42,59,20,44
2011,https://www.atptour.com//en/scores/2011/339/MS030/match-stats?isLive=False,d801,a511,Alexandr Dolgopolov,Igor Andreev,7,3,53,29,55,26,29,14,26,2,1,62,34,55,22,34,9,21
2011,https://www.atptour.com//en/scores/2011/339/MS018/match-stats?isLive=False,e690,mh30,Matthew Ebden,John Millman,12,1,74,63,85,46,63,9,22,4,3,76,58,76,42,58,6,18
2011,https://www.atptour.com//en/scores/2011/339/MS026/match-stats?isLive=False,g725,sd32,Santiago Giraldo,Gilles Simon,2,0,77,57,74,37,57,9,17,5,2,57,30,53,22,30,8,23
2011,https://www.atptour.com//en/scores/2011/339/MS029/match-stats?isLive=False,k540,bc72,Lukasz Kubot,Daniel Brands,7,1,61,31,51,24,31,13,20,6,4,64,29,45,16,29,7,16
2011,https://www.atptour.com//en/scores/2011/339/MS021/match-stats?isLive=False,s694,k839,Radek Stepanek,Tobias Kamke,7,3,59,47,80,37,47,16,33,4,7,57,50,87,33,50,19,37
2011,https://www.atptour.com//en/scores/2011/339/QS004/match-stats?isLive=False,me82,i230,Adrian Mannarino,Tatsuma Ito,13,2,63,59,94,45,59,18,35,8,4,55,49,89,39,49,19,40
2011,https://www.atptour.com//en/scores/2011/339/QS005/match-stats?isLive=False,be90,l515,Ricardas Berankis,Peter Luczak,23,2,58,51,88,45,51,17,37,7,3,70,56,80,41,56,11,24
2011,https://www.atptour.com//en/scores/2011/339/QS007/match-stats?isLive=False,e690,j361,Matthew Ebden,Greg Jones,2,1,53,25,47,23,25,13,22,4,0,62,36,58,22,36,9,22
2011,https://www.atptour.com//en/scores/2011/339/QS006/match-stats?isLive=False,h940,z254,Ryan Harrison,Jurgen Zopp,11,2,71,63,89,45,63,15,26,9,5,59,68,115,49,68,23,47
2011,https://www.atptour.com//en/scores/2011/339/QS008/match-stats?isLive=False,me82,pb22,Adrian Mannarino,Peter Polansky,4,0,54,31,57,24,31,17,26,7,3,49,28,57,25,28,13,29
2011,https://www.atptour.com//en/scores/2011/339/QS010/match-stats?isLive=False,be90,c968,Ricardas Berankis,Marco Crugnola,3,2,41,20,49,13,20,22,29,3,6,55,41,74,24,41,14,33
2011,https://www.atptour.com//en/scores/2011/339/QS009/match-stats?isLive=False,i230,k310,Tatsuma Ito,Stefan Koubek,4,5,60,58,97,43,58,20,39,6,1,63,61,97,41,61,14,36
2011,https://www.atptour.com//en/scores/2011/339/QS011/match-stats?isLive=False,l515,t315,Peter Luczak,Dmitry Tursunov,15,4,66,67,101,52,67,21,34,21,5,55,54,98,46,54,23,44
