year,match link,p1 id (winner),p2 id (loser),p1 name,p2 name,p1 aces,p1 double faults,p1 FSP,p1 total first serves made,p1 total first serves hit,p1 total first serve points won,p1 total first serve points,p1 total second serve point won,p1 total second serve points,p2 aces,p2 double faults,p2 FSP,p2 total first serves made,p2 total first serves hit,p2 total first serve points won,p2 total first serve points,p2 total second serve point won,p2 total second serve points
2003,https://www.atptour.com//en/scores/2003/451/MS001/match-stats?isLive=False,k310,g352,Stefan Koubek,Jan-Michael Gambill,5,2,60,31,52,24,31,16,21,10,2,69,38,55,29,38,8,17
2003,https://www.atptour.com//en/scores/2003/451/MS003/match-stats?isLive=False,k310,e121,Stefan Koubek,Younes El Aynaoui,7,0,66,51,77,38,51,18,26,5,1,68,55,81,40,55,16,26
2003,https://www.atptour.com//en/scores/2003/451/MS002/match-stats?isLive=False,g352,y061,Jan-Michael Gambill,Mikhail Youzhny,7,5,47,29,62,25,29,14,33,1,4,70,40,57,26,40,5,17
2003,https://www.atptour.com//en/scores/2003/451/MS004/match-stats?isLive=False,g352,f324,Jan-Michael Gambill,Roger Federer,4,3,62,43,69,33,43,14,26,2,4,56,44,78,29,44,16,34
2003,https://www.atptour.com//en/scores/2003/451/MS006/match-stats?isLive=False,e121,s424,Younes El Aynaoui,Fabrice Santoro,7,1,66,54,82,37,54,10,28,0,3,60,58,96,32,58,19,38
2003,https://www.atptour.com//en/scores/2003/451/MS005/match-stats?isLive=False,y061,v195,Mikhail Youzhny,Fernando Vicente,2,1,61,47,77,35,47,18,30,5,1,59,40,68,28,40,17,28
2003,https://www.atptour.com//en/scores/2003/451/MS007/match-stats?isLive=False,k310,v250,Stefan Koubek,Andreas Vinciguerra,6,0,46,26,56,21,26,23,30,3,1,68,40,59,26,40,8,19
2003,https://www.atptour.com//en/scores/2003/451/MS008/match-stats?isLive=False,f324,k319,Roger Federer,Michel Kratochvil,9,2,60,36,60,29,36,12,24,0,6,59,34,58,26,34,10,24
2003,https://www.atptour.com//en/scores/2003/451/MS015/match-stats?isLive=False,v250,c378,Andreas Vinciguerra,Albert Costa,10,2,61,57,93,48,57,22,36,7,2,72,68,95,54,68,17,27
2003,https://www.atptour.com//en/scores/2003/451/MS013/match-stats?isLive=False,e121,a226,Younes El Aynaoui,Hicham Arazi,8,1,70,49,70,38,49,9,21,6,2,61,43,70,28,43,11,27
2003,https://www.atptour.com//en/scores/2003/451/MS011/match-stats?isLive=False,y061,s694,Mikhail Youzhny,Radek Stepanek,0,3,68,27,40,24,27,9,13,4,0,51,29,57,18,29,13,28
2003,https://www.atptour.com//en/scores/2003/451/MS012/match-stats?isLive=False,s424,r336,Fabrice Santoro,Christophe Rochus,8,4,59,84,142,49,84,25,58,0,2,78,111,143,50,111,17,32
2003,https://www.atptour.com//en/scores/2003/451/MS009/match-stats?isLive=False,g352,f401,Jan-Michael Gambill,David Ferrer,14,3,71,50,70,40,50,9,20,0,1,52,36,69,26,36,19,33
2003,https://www.atptour.com//en/scores/2003/451/MS014/match-stats?isLive=False,k310,v211,Stefan Koubek,Vladimir Voltchkov,0,1,64,27,42,21,27,9,15,1,2,72,26,36,12,26,2,10
2003,https://www.atptour.com//en/scores/2003/451/MS010/match-stats?isLive=False,v195,h366,Fernando Vicente,Markus Hantschk,3,3,56,44,78,31,44,22,34,4,1,71,63,89,36,63,17,26
2003,https://www.atptour.com//en/scores/2003/451/MS016/match-stats?isLive=False,f324,s688,Roger Federer,Andrei Stoliarov,16,5,61,65,107,52,65,21,42,1,2,58,58,100,39,58,26,42
2003,https://www.atptour.com//en/scores/2003/451/MS031/match-stats?isLive=False,c378,g254,Albert Costa,Andrea Gaudenzi,11,2,56,38,68,30,38,18,30,2,6,47,27,57,19,27,16,30
2003,https://www.atptour.com//en/scores/2003/451/MS027/match-stats?isLive=False,e121,b599,Younes El Aynaoui,Julien Boutter,6,3,70,39,56,33,39,9,17,12,3,59,42,71,31,42,13,29
2003,https://www.atptour.com//en/scores/2003/451/MS020/match-stats?isLive=False,v195,k267,Fernando Vicente,Yevgeny Kafelnikov,2,6,61,48,79,36,48,12,31,1,4,36,23,64,17,23,19,41
2003,https://www.atptour.com//en/scores/2003/451/MS023/match-stats?isLive=False,y061,s677,Mikhail Youzhny,David Sanchez,0,2,55,72,130,46,72,27,58,1,0,52,46,89,29,46,22,43
2003,https://www.atptour.com//en/scores/2003/451/MS028/match-stats?isLive=False,k310,e140,Stefan Koubek,Nicolas Escude,6,2,58,36,62,29,36,15,26,7,1,70,59,84,34,59,11,25
2003,https://www.atptour.com//en/scores/2003/451/MS024/match-stats?isLive=False,s424,m535,Fabrice Santoro,Felix Mantilla,0,3,58,36,62,25,36,14,26,0,7,70,44,63,24,44,7,19
2003,https://www.atptour.com//en/scores/2003/451/MS019/match-stats?isLive=False,g352,h380,Jan-Michael Gambill,Ivo Heuberger,4,2,57,29,51,20,29,10,22,4,8,49,28,57,14,28,11,29
2003,https://www.atptour.com//en/scores/2003/451/MS026/match-stats?isLive=False,a226,p273,Hicham Arazi,David Prinosil,3,1,67,35,52,27,35,10,17,5,2,64,37,58,19,37,10,21
2003,https://www.atptour.com//en/scores/2003/451/MS018/match-stats?isLive=False,f401,s693,David Ferrer,Raemon Sluiter,11,4,57,60,105,44,60,19,45,5,6,53,57,107,32,57,29,50
2003,https://www.atptour.com//en/scores/2003/451/MS021/match-stats?isLive=False,h366,c328,Markus Hantschk,Kenneth Carlsen,1,0,65,40,62,32,40,14,22,4,0,54,27,50,21,27,11,23
2003,https://www.atptour.com//en/scores/2003/451/MS017/match-stats?isLive=False,k319,k346,Michel Kratochvil,Sultan Khalfan,0,3,68,36,53,25,36,11,17,0,3,62,33,53,19,33,4,20
2003,https://www.atptour.com//en/scores/2003/451/MS025/match-stats?isLive=False,r336,a293,Christophe Rochus,Yves Allegro,0,3,75,39,52,27,39,8,13,6,6,53,26,49,14,26,7,23
2003,https://www.atptour.com//en/scores/2003/451/MS022/match-stats?isLive=False,s694,l397,Radek Stepanek,Feliciano Lopez,7,2,66,60,91,42,60,23,31,8,4,54,50,92,39,50,17,42
2003,https://www.atptour.com//en/scores/2003/451/MS030/match-stats?isLive=False,v250,a203,Andreas Vinciguerra,Karim Alami,2,1,74,58,78,38,58,13,20,5,0,61,45,74,31,45,11,29
2003,https://www.atptour.com//en/scores/2003/451/MS029/match-stats?isLive=False,v211,l311,Vladimir Voltchkov,Hyung-Taik Lee,6,3,68,70,103,49,70,18,33,8,1,68,59,87,45,59,19,28
2003,https://www.atptour.com//en/scores/2003/891/MS001/match-stats?isLive=False,s675,k237,Paradorn Srichaphan,Karol Kucera,5,6,42,22,53,19,22,17,31,2,1,65,33,51,17,33,8,18
2003,https://www.atptour.com//en/scores/2003/891/MS003/match-stats?isLive=False,s675,l386,Paradorn Srichaphan,Jean-Rene Lisnard,2,3,52,22,42,19,22,12,20,0,0,43,20,47,7,20,14,27
2003,https://www.atptour.com//en/scores/2003/891/MS002/match-stats?isLive=False,k237,c514,Karol Kucera,Juan Ignacio Chela,2,0,59,39,66,24,39,17,27,2,2,57,35,61,19,35,11,26
2003,https://www.atptour.com//en/scores/2003/891/MS004/match-stats?isLive=False,k237,c433,Karol Kucera,Guillermo Canas,1,4,63,42,67,25,42,18,25,0,2,59,40,68,23,40,12,28
2003,https://www.atptour.com//en/scores/2003/891/MS007/match-stats?isLive=False,s675,s545,Paradorn Srichaphan,Sargis Sargsian,7,2,58,30,52,24,30,10,22,3,7,60,48,80,32,48,9,32
2003,https://www.atptour.com//en/scores/2003/891/MS005/match-stats?isLive=False,c514,b545,Juan Ignacio Chela,Tomas Behrend,3,0,50,33,66,24,33,22,33,3,3,59,30,51,20,30,10,21
2003,https://www.atptour.com//en/scores/2003/891/MS006/match-stats?isLive=False,l386,s636,Jean-Rene Lisnard,Rainer Schuettler,2,1,67,50,75,25,50,17,25,0,2,73,51,70,25,51,8,19
2003,https://www.atptour.com//en/scores/2003/891/MS008/match-stats?isLive=False,c433,v207,Guillermo Canas,Jiri Vanek,1,3,64,36,56,28,36,7,20,5,4,60,35,58,21,35,7,23
2003,https://www.atptour.com//en/scores/2003/891/MS015/match-stats?isLive=False,s675,v201,Paradorn Srichaphan,John van Lottum,4,1,63,29,46,23,29,10,17,0,2,65,34,52,21,34,7,18
2003,https://www.atptour.com//en/scores/2003/891/MS010/match-stats?isLive=False,c514,k313,Juan Ignacio Chela,Zeljko Krajan,10,4,63,37,59,28,37,10,22,0,1,54,37,69,24,37,16,32
2003,https://www.atptour.com//en/scores/2003/891/MS012/match-stats?isLive=False,s636,p338,Rainer Schuettler,Mark Philippoussis,2,2,56,19,34,17,19,11,15,1,6,43,20,46,12,20,7,26
2003,https://www.atptour.com//en/scores/2003/891/MS014/match-stats?isLive=False,s545,m824,Sargis Sargsian,Albert Montanes,5,3,60,35,58,30,35,13,23,4,1,55,29,53,23,29,11,24
2003,https://www.atptour.com//en/scores/2003/891/MS011/match-stats?isLive=False,b545,p305,Tomas Behrend,Albert Portas,5,4,61,35,57,24,35,13,22,0,2,52,28,54,16,28,11,26
2003,https://www.atptour.com//en/scores/2003/891/MS009/match-stats?isLive=False,k237,m614,Karol Kucera,Cecil Mamiit,1,3,59,56,95,39,56,16,39,3,2,54,55,102,32,55,25,47
2003,https://www.atptour.com//en/scores/2003/891/MS013/match-stats?isLive=False,l386,o133,Jean-Rene Lisnard,Noam Okun,1,2,62,49,79,37,49,13,30,0,2,60,43,72,21,43,15,29
2003,https://www.atptour.com//en/scores/2003/891/MS016/match-stats?isLive=False,c433,n233,Guillermo Canas,Dick Norman,5,3,60,47,78,35,47,20,31,7,7,54,51,95,33,51,22,44
2003,https://www.atptour.com//en/scores/2003/891/MS031/match-stats?isLive=False,s675,v220,Paradorn Srichaphan,Jan Vacek,2,1,53,34,64,25,34,17,30,2,2,54,31,57,21,31,9,26
2003,https://www.atptour.com//en/scores/2003/891/MS020/match-stats?isLive=False,c514,p269,Juan Ignacio Chela,Leander Paes,4,6,53,45,85,33,45,20,40,0,8,58,59,101,36,59,21,42
2003,https://www.atptour.com//en/scores/2003/891/MS023/match-stats?isLive=False,b545,p280,Tomas Behrend,Andrei Pavel,4,3,56,35,63,25,35,16,28,2,0,63,35,56,21,35,8,21
2003,https://www.atptour.com//en/scores/2003/891/MS024/match-stats?isLive=False,s636,k263,Rainer Schuettler,Julian Knowle,4,1,58,28,48,26,28,12,20,4,8,46,29,63,22,29,13,34
2003,https://www.atptour.com//en/scores/2003/891/MS019/match-stats?isLive=False,m614,b484,Cecil Mamiit,Lars Burgsmuller,3,3,67,38,57,28,38,11,19,2,3,63,27,43,14,27,7,16
2003,https://www.atptour.com//en/scores/2003/891/MS028/match-stats?isLive=False,m824,l428,Albert Montanes,Michael Llodra,0,4,60,56,93,41,56,18,37,4,3,63,53,84,42,53,16,31
2003,https://www.atptour.com//en/scores/2003/891/MS021/match-stats?isLive=False,k313,b757,Zeljko Krajan,Rohan Bopanna,4,1,69,48,70,36,48,13,22,8,1,40,27,68,25,27,18,41
2003,https://www.atptour.com//en/scores/2003/891/MS018/match-stats?isLive=False,k237,g354,Karol Kucera,Justin Gimelstob,3,7,49,47,95,34,47,29,48,11,5,61,63,103,47,63,18,40
2003,https://www.atptour.com//en/scores/2003/891/MS026/match-stats?isLive=False,l386,p491,Jean-Rene Lisnard,Kristian Pless,1,1,64,36,56,27,36,12,20,0,7,53,34,64,21,34,12,30
2003,https://www.atptour.com//en/scores/2003/891/MS027/match-stats?isLive=False,o133,b487,Noam Okun,Juan Balcells,1,4,63,46,73,30,46,20,27,2,3,72,42,58,32,42,9,16
2003,https://www.atptour.com//en/scores/2003/891/MS025/match-stats?isLive=False,p338,k257,Mark Philippoussis,Michael Kohlmann,8,9,56,38,68,30,38,16,30,10,2,58,38,65,28,38,10,27
